,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
0,frozenset({'6 RIBBONS RUSTIC CHARM'}),frozenset({'POSTAGE'}),0.08291873963515754,0.6351575456053068,0.06965174129353234,0.8400000000000001,1.3225065274151437,1.0,0.016985278142180205,2.280265339966834,0.26590889520365113,0.10741687979539644,0.5614545454545457,0.47483028720626635
1,frozenset({'6 RIBBONS RUSTIC CHARM'}),frozenset({'REGENCY CAKESTAND 3 TIER'}),0.08291873963515754,0.13432835820895522,0.03316749585406302,0.4,2.977777777777778,1.0,0.022029157694116484,1.4427860696517414,0.7242314647377939,0.1801801801801802,0.30689655172413793,0.3234567901234568
2,frozenset({'ALARM CLOCK BAKELIKE PINK'}),frozenset({'POSTAGE'}),0.05472636815920398,0.6351575456053068,0.03814262023217247,0.6969696969696969,1.0973178257773557,1.0,0.0033827545522800567,1.2039800995024874,0.09382151029748277,0.05852417302798983,0.1694214876033056,0.37851095814542285
3,frozenset({'BAKING SET 9 PIECE RETROSPOT '}),frozenset({'POSTAGE'}),0.03814262023217247,0.6351575456053068,0.03316749585406302,0.8695652173913044,1.369054376206153,1.0,0.008940922804441035,2.79712548369265,0.2802586206896552,0.05181347150259067,0.6424901185770754,0.46089226927006477
4,frozenset({'BLUE HARMONICA IN BOX '}),frozenset({'POSTAGE'}),0.03648424543946932,0.6351575456053068,0.03648424543946932,1.0,1.5744125326370757,1.0,0.013311001652874379,inf,0.37865748709122204,0.05744125326370758,1.0,0.5287206266318538
5,frozenset({'BLUE POLKADOT CUP'}),frozenset({'POSTAGE'}),0.03648424543946932,0.6351575456053068,0.03316749585406302,0.9090909090909092,1.43128412057916,1.0,0.009994252067468078,4.013266998341629,0.3127366609294321,0.05194805194805195,0.7508264462809919,0.48065511511986714
6,frozenset({'CHARLOTTE BAG APPLES DESIGN'}),frozenset({'POSTAGE'}),0.05140961857379768,0.6351575456053068,0.04643449419568822,0.9032258064516128,1.422050029478649,1.0,0.013781287041849895,3.7700386954118246,0.3128746253746253,0.07253886010362694,0.7347507331378296,0.48816642802998395
7,frozenset({'CHILDRENS CUTLERY DOLLY GIRL '}),frozenset({'POSTAGE'}),0.03814262023217247,0.6351575456053068,0.03482587064676617,0.9130434782608696,1.4375070950164606,1.0,0.010599297597144185,4.195688225538975,0.3164203612479475,0.054545454545454536,0.7616600790513836,0.483936882733568
8,frozenset({'CHILDRENS CUTLERY SPACEBOY '}),frozenset({'POSTAGE'}),0.03648424543946932,0.6351575456053068,0.03482587064676617,0.9545454545454546,1.5028483266081178,1.0,0.011652626860171229,8.026533996683257,0.34726661749036963,0.0546875,0.875413223140496,0.5046878708758604
9,frozenset({'COFFEE MUG APPLES DESIGN'}),frozenset({'POSTAGE'}),0.04975124378109453,0.6351575456053068,0.04145936981757877,0.8333333333333333,1.3120104438642297,1.0,0.009859491926767487,2.189054726368158,0.250261780104712,0.06443298969072166,0.543181818181818,0.4493037423846823
10,frozenset({'FAWN BLUE HOT WATER BOTTLE'}),frozenset({'POSTAGE'}),0.04809286898839138,0.6351575456053068,0.04477611940298507,0.9310344827586206,1.4658323579724497,1.0,0.014229570775200831,5.290215588723041,0.3338495289714801,0.07012987012987013,0.8109717868338554,0.5007652831547672
11,frozenset({'GUMBALL COAT RACK'}),frozenset({'POSTAGE'}),0.07462686567164178,0.6351575456053068,0.04311774461028192,0.5777777777777778,0.9096605744125328,1.0,-0.004282072225934998,0.8641005498821682,-0.09691876750700273,0.06467661691542288,-0.1572727272727271,0.3228314476356252
12,frozenset({'GUMBALL COAT RACK'}),frozenset({'ROUND SNACK BOXES SET OF4 WOODLAND '}),0.07462686567164178,0.19734660033167495,0.03150912106135987,0.4222222222222223,2.139495798319328,1.0,0.016781762827652785,1.389207807118255,0.5755517826825128,0.1310344827586207,0.28016528925619844,0.2909430438842204
13,frozenset({'IVORY KITCHEN SCALES'}),frozenset({'POSTAGE'}),0.04311774461028192,0.6351575456053068,0.03150912106135987,0.7307692307692308,1.1505322353886325,1.0,0.004122560222656758,1.3551291163231465,0.13673264617349276,0.04871794871794872,0.26206293706293726,0.39018879293030734
14,frozenset({'JAM JAR WITH PINK LID'}),frozenset({'POSTAGE'}),0.05638474295190713,0.6351575456053068,0.04311774461028192,0.7647058823529411,1.2039625249577637,1.0,0.007304549667362464,1.5505804311774458,0.17953224280113547,0.06649616368286446,0.35508021390374317,0.41629549992320686
15,frozenset({'JAM MAKING SET PRINTED'}),frozenset({'POSTAGE'}),0.07131011608623548,0.6351575456053068,0.05638474295190713,0.7906976744186047,1.2448843281316413,1.0,0.011091584641744298,1.7431361709968682,0.21181722689075644,0.08673469387755102,0.4263213530655393,0.43973526018580367
16,frozenset({'JUMBO BAG APPLES'}),frozenset({'POSTAGE'}),0.05140961857379768,0.6351575456053068,0.03980099502487562,0.7741935483870968,1.2189000252674134,1.0,0.007147787871037294,1.6157308694622126,0.18932109557109553,0.06153846153846154,0.38108504398826976,0.4184283668828434
17,frozenset({'JUMBO BAG RED RETROSPOT'}),frozenset({'JUMBO BAG WOODLAND ANIMALS'}),0.05970149253731343,0.07960199004975124,0.03648424543946932,0.6111111111111112,7.677083333333334,1.0,0.031731887824558797,2.3667377398720686,0.9249639249639249,0.3548387096774194,0.5774774774774776,0.5347222222222223
